epoch,train_rmse,train_mae,train_r2
1,0.06552335953146413,0.054391388639251324,-3689.5657603314944
2,0.0168108429288032,0.005835340607778302,-21.903932777318087
3,0.01655831049172232,0.005424271849461819,-32.66656465499432
4,0.016399169369455572,0.005147690280014044,-45.80090372980415
5,0.016305877350863408,0.004965407878172572,-60.17487664346571
6,0.01624791121394555,0.004837507487489395,-75.51671437628858
7,0.01620881996335244,0.004742029906543843,-91.81240302169478
8,0.016180740049495906,0.004667322665026605,-109.15146130013775
9,0.01615937665866857,0.004605318653599855,-128.24499560641004
10,0.01614248289654104,0.004553662976643143,-148.21127122872835
11,0.016129445323914096,0.004511545070933856,-168.98349150512126
12,0.016118857908280347,0.004475792334339424,-190.84300919244816
13,0.016110085157296537,0.004444948514559089,-213.86871566633124
14,0.01610270509792661,0.004417884328165212,-238.1615549101458
15,0.016096421320886387,0.004393898887263442,-263.7561035899373
16,0.016091021399963164,0.004372494573804683,-290.6788412371239
17,0.016086342215368695,0.0043532744482047735,-318.95971262532396
18,0.01608225604891172,0.004335922492190276,-348.6274804767076
19,0.016078664400378945,0.00432018348992524,-379.70655360779205
20,0.016075489107086987,0.00430584914605103,-412.21682889895004
21,0.016072667311565564,0.004292748443058135,-446.1717319875569
22,0.01607014826051407,0.004280739663245894,-481.5764963247559
23,0.016067890898632975,0.004269703012602343,-518.4284989531939
24,0.01606585980656061,0.004259537905454636,-556.7127168836531
25,0.016064027046509596,0.004250158957022775,-596.4015876155395
26,0.016062368176553956,0.004241494053117508,-637.4513814124194
27,0.016060863152469882,0.004233481496358563,-679.7997885083223
28,0.01605949442313573,0.004226069237946914,-723.3615291497924
1,0.07465250526446027,0.06035632667942094,-3335.7127378776477
2,0.03176680122889191,0.017241502475513558,-47.52979734269056
3,0.0313945269611265,0.016541584413014836,-86.38542074429525
4,0.031240910143506797,0.01619383521973724,-131.98598077390102
5,0.031168208397054052,0.015993353983314782,-181.85771082748067
6,0.03112723651741232,0.015860257379245013,-235.5137538298384
7,0.03110119233863404,0.015763523805109397,-293.25781862534484
8,0.031083197248252956,0.01568905053533275,-355.45524947132384
9,0.03107000960418108,0.015629554134128348,-422.5633272613798
10,0.03105996975784081,0.015581031663678949,-493.84618720683187
11,0.03105222897576894,0.015540668267647845,-569.0803271973288
12,0.031046061589860344,0.015506224102770015,-648.9054797972951
13,0.031041002036344453,0.015476338814433012,-733.3478021521073
14,0.03103676618624164,0.015450322420741493,-822.2418746986947
15,0.031033202241531683,0.015428065565375418,-913.3583776757315
16,0.031030239411115695,0.015408977935908593,-1005.8574909219494
17,0.031027719141105067,0.015392365397858227,-1099.5982751157376
18,0.03102553626991107,0.0153778931883832,-1193.7939044957036
19,0.031023617203395765,0.01536533471866656,-1287.2784878123891
20,0.031021904892003915,0.01535454127002453,-1378.5052968759042
21,0.031020352241202174,0.015345423228739361,-1465.472173800716
22,0.031018916491416054,0.0153379586195292,-1545.5993659209896
23,0.03101755599695403,0.01533219850600951,-1615.5689409444858
24,0.031016224389744607,0.015328290698219805,-1671.0832244544833
25,0.031014863429621297,0.01532652365839768,-1706.5317603024569
26,0.03101338730337304,0.015327414832427166,-1714.492154642359
27,0.031011652221824587,0.015331895910649464,-1684.9479780816412
28,0.031009372225478775,0.015341741233790451,-1604.0046328886763
29,0.03100587035508149,0.015360702975016608,-1451.6106102156948
30,0.030999029060529374,0.015398341791580322,-1197.0432680102138
1,0.08207095942558035,0.0685889299493283,-4355.536832486328
2,0.03216827701238033,0.018304751073868062,-24.122466714758623
3,0.031424936253307875,0.01718000326409789,-43.801129522292236
4,0.031147392717876324,0.016643777189433183,-67.1750007954083
5,0.031010994090282015,0.01633186354056785,-93.04407196688025
6,0.03093064260534256,0.01612607783049737,-121.5024992321667
7,0.030877913878372822,0.015976363135881622,-151.60963302458586
8,0.030841691094744755,0.015863780661388056,-182.8359075894481
9,0.030814701993030644,0.015776166156252946,-215.052788027023
10,0.030792390921545263,0.015704360807400296,-247.01183095888086
11,0.030773970515981904,0.015651055626221932,-275.914770326332
12,0.030757161073300888,0.015610755196049516,-301.3136316443744
13,0.03073993206980001,0.015583984661804462,-319.53218565802825
14,0.030719461331548365,0.01557106998179255,-326.8018844927612
15,0.03069009825948773,0.015576179025198431,-316.5718290703861
16,0.03063429271232484,0.015615953048262255,-278.48382834776453
17,0.030433043021108268,0.01569573721912763,-204.5358335171875
18,0.023865353965543602,0.015448634439197025,-32.1188511413179
19,0.0316783978640543,0.016171542821929938,-720.9877911688466
20,0.030657896377593523,0.015466986981520773,-561.8606543548798
