epoch,train_rmse,train_mae,train_r2
1,0.205256715997473,0.10032413921669706,-920.6554289235697
2,0.17246372528470955,0.08810188173763937,-109.73617449131879
3,0.09671864934362374,0.043161575791317144,-4.822941012196726
4,0.08207570028479223,0.02734259062434559,0.3654792859376251
5,0.07971653267257399,0.024578672882121105,0.41313955787714424
6,0.07847750324804287,0.023099883108750566,0.4422904774546623
7,0.07727082634901071,0.022097786465151745,0.4669811389856524
8,0.07612797634845431,0.02144750952720642,0.49220062144003907
9,0.07540920400967846,0.021164405328983612,0.5053456445986574
10,0.07457879248571087,0.020952842301120617,0.5211711443670384
11,0.03272902759324227,0.010979784041788284,0.8756709049467917
12,0.020399788781613498,0.007867994040928104,0.980401645780408
13,0.020925825685504582,0.007610260430336385,0.9814375153525019
14,0.020537165519720936,0.007497124086654225,0.9817252784888805
15,0.022641110711718922,0.008065895627966368,0.9771973107723737
16,0.021428779904525002,0.007909326543487222,0.9813787802183008
17,0.02111961864322037,0.007755747778558886,0.9819515508980575
18,0.02387683204217971,0.008327040694315325,0.9778347794335432
19,0.02297007366289179,0.008251032181229297,0.9794312873431905
20,0.022692517927763136,0.00828006080738813,0.98095581762027
21,0.021763009539285262,0.00797403905564895,0.9829452872887109
22,0.02071736633850189,0.00786879642824219,0.9846044417921236
23,0.020984239664606073,0.007834081144930867,0.9842201860503644
24,0.023896695332383956,0.008607402631359827,0.9797286228911782
25,0.022584746210751207,0.008273007230252608,0.9822313769390904
26,0.021811976188237405,0.007868928889223895,0.9830191810464172
27,0.02155512154053945,0.007721871241939242,0.9836901321314735
28,0.020693980925414083,0.0075530993703801135,0.9852318503310323
29,0.01988093610611055,0.007228621810843999,0.9862960564265898
30,0.02239186969863904,0.00795524693910613,0.982612171071255
1,0.20678795501589775,0.09853180154765907,-1400.20559061201
2,0.16100550207652545,0.07961207350078774,-75.26658144505008
3,0.06190854508282715,0.029464508241385613,0.44187625587035556
4,0.04081885066912755,0.016806247803431592,0.923606478327297
5,0.03355065159083001,0.01240887895447055,0.9530317813378612
6,0.030077814743363934,0.010987326260778661,0.9630723803512458
7,0.027865017788778795,0.009874727439110805,0.9690521372157443
8,0.024857216588172474,0.008855230613047943,0.9752077196577662
9,0.02251963290434919,0.007789793427371861,0.9802176859628066
10,0.02295246681713156,0.007754483575761122,0.9798224370185237
11,0.022042820793821624,0.007464439709254198,0.9817514753208103
12,0.02413024767424519,0.008075652343809213,0.9783915209057006
13,0.023053975101854456,0.00788749202068797,0.9804542686447109
14,0.021759226189092977,0.007584191000971355,0.9831666276180553
15,0.020889347259837546,0.007347500683911341,0.9849464552244172
16,0.020228070185495245,0.007086019230834944,0.9853513869763303
17,0.019925717512562283,0.006919820253786288,0.9861802883403327
18,0.02400827081874013,0.00823129090713337,0.9801569042825385
19,0.02249011576886436,0.00803576025952536,0.9819847196769459
20,0.020201299409994756,0.007482754155429767,0.9855308318357473
