epoch,train_rmse,train_mae,train_r2
1,0.17997814013392893,0.09731393517902145,-1426.2776205942228
2,0.09906943304488411,0.051613303348905855,-6.700298677162303
3,0.06502687159393515,0.030468500183000194,0.5822470195881733
4,0.04698240457030086,0.021740748305115607,0.8299199349379965
5,0.03651321860175435,0.016624290520301115,0.8985255955924074
6,0.03288564834646977,0.014445458000598403,0.9318502344940971
7,0.029532941711413397,0.013421606469004378,0.9469000974053202
8,0.029062463043185025,0.013383733888773562,0.9495571386552863
9,0.02856794725982593,0.013061254097801912,0.9495285223963876
10,0.030140624665836623,0.013919756185360156,0.94638747387481
11,0.02714975503599876,0.01233762407119011,0.9544705062040261
12,0.02795276344548185,0.01272089312203809,0.9517151843605248
13,0.024262542322326403,0.011592080093944421,0.967154966017183
14,0.022883312335213672,0.011022675861060233,0.9706334919977159
15,0.02070328633167914,0.010049507067260611,0.9756341935619228
16,0.01988762883808125,0.009605203724962163,0.9774741217155348
17,0.019123022051455527,0.009086480146491683,0.9787972084180053
18,0.020082191007768178,0.009603599222473704,0.9769336476577325
19,0.019423711549055266,0.00942345719494216,0.9793382223556423
20,0.018076766100893548,0.00882841080318314,0.9812563508461749
21,0.017667441876822863,0.008439470288138112,0.9826543785438135
22,0.01668804335444198,0.008251688935999552,0.9845419766414645
23,0.015783597449106828,0.007661668639690555,0.9860802465428404
24,0.01807685898217772,0.00864789256064052,0.9826936231647896
25,0.017497096065576975,0.008511392254527513,0.9841400948005378
26,0.016856069183702787,0.00819794516466171,0.9854545018608476
27,0.016117926457195314,0.007837223968553271,0.9867857958193167
28,0.015446936865881472,0.007506169061261145,0.9879124912768965
29,0.014819707431189426,0.007227357758160729,0.9889140207329523
30,0.016123121725274372,0.00779447857254221,0.9873091106986409
1,0.18027649623783013,0.09301483381147448,-2020.0599772177245
2,0.10358833706643629,0.050224327310723696,-28.326004900528414
3,0.07060736971662233,0.031979092825694305,0.43940359763310927
4,0.05368352792912016,0.023497181705591317,0.7544746356526095
5,0.04210020876857207,0.018277411710617964,0.8651264981660796
6,0.039315989927241675,0.01763089044681309,0.8909936837337323
7,0.034508492956918324,0.01523127957663842,0.9167265778370691
8,0.032088294845858685,0.014427128860628918,0.9344365610189638
9,0.028750450748607125,0.012392146019632682,0.9442290268029625
10,0.02619403555964757,0.011551026022061706,0.9549684825316561
11,0.024595103747407466,0.010675168642161512,0.9628303927142712
12,0.02535596921868426,0.011928332200592482,0.9603136284031758
13,0.024531933932418103,0.010875606082232767,0.9646975979772642
14,0.022806679566488845,0.009742482893144418,0.9687095463864113
15,0.021573222254549985,0.009382579956620344,0.9725267003768271
16,0.022157046000326152,0.009460921959927012,0.9709653872628942
17,0.02002173550672045,0.008656746980513594,0.9752324889046385
18,0.022046141982029536,0.008769810172165498,0.9711126317729635
19,0.02121268628214143,0.009145186298012146,0.9755121927530701
20,0.0208515199820364,0.009064164018797638,0.9760393558168098
